@relation interest
@attribute text string
@attribute doc0	real
@attribute doc1	real
@attribute doc2	real
@attribute doc3	real
@attribute doc4	real
@attribute doc5	real
@attribute doc6	real
@attribute doc7	real
@attribute doc8	real
@attribute doc9	real
@attribute doc10	real
@attribute doc11	real
@attribute doc12	real
@attribute doc13	real
@attribute doc14	real
@attribute doc15	real
@attribute doc16	real
@attribute doc17	real
@attribute doc18	real
@attribute doc19	real
@attribute doc20	real
@attribute doc21	real
@attribute doc22	real
@attribute doc23	real
@attribute doc24	real
@attribute doc25	real
@attribute doc26	real
@attribute doc27	real
@attribute doc28	real
@attribute doc29	real
@attribute doc30	real
@attribute doc31	real
@attribute doc32	real
@attribute doc33	real
@attribute doc34	real
@attribute doc35	real
@attribute doc36	real
@attribute doc37	real
@attribute doc38	real
@attribute doc39	real
@attribute doc40	real
@attribute doc41	real
@attribute doc42	real
@attribute doc43	real
@attribute doc44	real
@attribute doc45	real
@attribute doc46	real
@attribute doc47	real
@attribute doc48	real
@attribute doc49	real
@attribute doc50	real
@attribute doc51	real
@attribute doc52	real
@attribute doc53	real
@attribute doc54	real
@attribute doc55	real
@attribute doc56	real
@attribute doc57	real
@attribute doc58	real
@attribute doc59	real
@attribute doc60	real
@attribute doc61	real
@attribute doc62	real
@attribute doc63	real
@attribute doc64	real
@attribute doc65	real
@attribute doc66	real
@attribute doc67	real
@attribute doc68	real
@attribute doc69	real
@attribute doc70	real
@attribute doc71	real
@attribute doc72	real
@attribute doc73	real
@attribute doc74	real
@attribute doc75	real
@attribute doc76	real
@attribute doc77	real
@attribute doc78	real
@attribute doc79	real
@attribute doc80	real
@attribute doc81	real
@attribute doc82	real
@attribute doc83	real
@attribute doc84	real
@attribute doc85	real
@attribute doc86	real
@attribute doc87	real
@attribute doc88	real
@attribute doc89	real
@attribute doc90	real
@attribute doc91	real
@attribute doc92	real
@attribute doc93	real
@attribute doc94	real
@attribute doc95	real
@attribute doc96	real
@attribute doc97	real
@attribute doc98	real
@attribute doc99	real
@attribute doc100	real
@attribute doc101	real
@attribute doc102	real
@attribute doc103	real
@attribute doc104	real
@attribute doc105	real
@attribute doc106	real
@attribute doc107	real
@attribute doc108	real
@attribute doc109	real
@attribute doc110	real
@attribute doc111	real
@attribute doc112	real
@attribute doc113	real
@attribute doc114	real
@attribute doc115	real
@attribute doc116	real
@attribute doc117	real
@attribute doc118	real
@attribute doc119	real
@attribute doc120	real
@attribute doc121	real
@attribute doc122	real
@attribute doc123	real
@attribute doc124	real
@attribute doc125	real
@attribute doc126	real
@attribute doc127	real
@attribute doc128	real
@attribute doc129	real
@attribute doc130	real
@attribute doc131	real
@attribute doc132	real
@attribute doc133	real
@attribute doc134	real
@attribute doc135	real
@attribute doc136	real
@attribute doc137	real
@attribute doc138	real
@attribute doc139	real
@attribute doc140	real
@attribute doc141	real
@attribute doc142	real
@attribute doc143	real
@attribute doc144	real
@attribute doc145	real
@attribute doc146	real
@attribute doc147	real
@attribute doc148	real
@attribute doc149	real
@attribute doc150	real
@attribute doc151	real
@attribute doc152	real
@attribute doc153	real
@attribute doc154	real
@attribute doc155	real
@attribute doc156	real
@attribute doc157	real
@attribute doc158	real
@attribute doc159	real
@attribute doc160	real
@attribute doc161	real
@attribute doc162	real
@attribute doc163	real
@attribute doc164	real
@attribute doc165	real
@attribute doc166	real
@attribute doc167	real
@attribute doc168	real
@attribute doc169	real
@attribute doc170	real
@attribute doc171	real
@attribute doc172	real
@attribute doc173	real
@attribute doc174	real
@attribute doc175	real
@attribute doc176	real
@attribute doc177	real
@attribute doc178	real
@attribute doc179	real
@attribute doc180	real
@attribute doc181	real
@attribute doc182	real
@attribute doc183	real
@attribute doc184	real
@attribute doc185	real
@attribute doc186	real
@attribute doc187	real
@attribute doc188	real
@attribute doc189	real
@attribute doc190	real
@attribute doc191	real
@attribute doc192	real
@attribute doc193	real
@attribute doc194	real
@attribute doc195	real
@attribute doc196	real
@attribute doc197	real
@attribute doc198	real
@attribute doc199	real
@attribute doc200	real
@attribute doc201	real
@attribute doc202	real
@attribute doc203	real
@attribute doc204	real
@attribute doc205	real
@attribute doc206	real
@attribute doc207	real
@attribute doc208	real
@attribute doc209	real
@attribute doc210	real
@attribute doc211	real
@attribute doc212	real
@attribute doc213	real
@attribute doc214	real
@attribute doc215	real
@attribute doc216	real
@attribute doc217	real
@attribute doc218	real
@attribute doc219	real
@attribute doc220	real
@attribute doc221	real
@attribute doc222	real
@attribute doc223	real
@attribute doc224	real
@attribute doc225	real
@attribute doc226	real
@attribute doc227	real
@attribute doc228	real
@attribute doc229	real
@attribute doc230	real
@attribute doc231	real
@attribute doc232	real
@attribute doc233	real
@attribute doc234	real
@attribute doc235	real
@attribute doc236	real
@attribute doc237	real
@attribute doc238	real
@attribute doc239	real
@attribute doc240	real
@attribute doc241	real
@attribute doc242	real
@attribute doc243	real
@data
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10分,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10集,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1小时,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
